City Code,Province Code,Country Code,City Name,Province Name,Country Name
PUNCH,JK,IN,Punch,Jammu and Kashmir,India
KLRAI,TN,IN,Keelakarai,Tamil Nadu,India
TIRAP,AR,IN,Tirap,Arunachal Pradesh,India
ZMANI,UP,IN,Zamania,Uttar Pradesh,India
ZAIDR,UP,IN,Zaidpur,Uttar Pradesh,India
ZHEAB,TG,IN,Zaheerabad,Telangana,India
YEOLA,MH,IN,Yeola,Maharashtra,India
YELUR,KA,IN,Yellapur,Karnataka,India
YELDU,TG,IN,Yellandu,Telangana,India
YAVTM,MH,IN,Yavatmal,Maharashtra,India
YAVAL,MH,IN,Yawal,Maharashtra,India
YANAM,PY,IN,Yanam,Puducherry,India
YMUAR,HR,IN,Yamunanagar,Haryana,India
YADGR,KA,IN,Yadgiri,Karnataka,India
WOKHA,NL,IN,Wokha,Nagaland,India
WEAYP,RJ,IN,Weir,Rajasthan,India
WLGTN,TN,IN,Wellington,Tamil Nadu,India
WAIRN,UP,IN,Wazirganj,Uttar Pradesh,India
WAHIM,MH,IN,Washim,Maharashtra,India
WARUD,MP,IN,Warud,Madhya Pradesh,India
WRORA,MH,IN,Warora,Maharashtra,India
WALGN,BR,IN,Warisaliganj,Bihar,India
WRDHA,MH,IN,Wardha,Maharashtra,India
WAEOI,MP,IN,Waraseoni,Madhya Pradesh,India
WARGL,TG,IN,Warangal,Telangana,India
WANRT,TG,IN,Wanaparthy,Telangana,India
WAKER,GJ,IN,Wankaner,Gujarat,India
WNIYW,MH,IN,Wani,Maharashtra,India
WALPE,TN,IN,Walajapet,Tamil Nadu,India
WIXJP,MH,IN,Wai,Maharashtra,India
WDIQA,KA,IN,Wadi,Karnataka,India
VYARA,GJ,IN,Vyara,Gujarat,India
KOTAL,AP,IN,Kothapalli,Andhra Pradesh,India
VINDA,UP,IN,Vrindavan,Uttar Pradesh,India
VRHLA,TN,IN,Vriddhachalam,Tamil Nadu,India
VIGAR,AP,IN,Vizianagaram,Andhra Pradesh,India
VIEWZ,MH,IN,Vita,Maharashtra,India
VSNGR,GJ,IN,Visnagar,Gujarat,India
VIKHT,AP,IN,Visakhapatnam,Andhra Pradesh,India
VISDR,GJ,IN,Visavadar,Gujarat,India
VIRDU,TN,IN,Virudunagar,Tamil Nadu,India
VIRNL,TN,IN,Viravanallur,Tamil Nadu,India
VIRAR,MH,IN,Virar,Maharashtra,India
VINUD,AP,IN,Vinukonda,Andhra Pradesh,India
VIPUA,TN,IN,Villupuram,Tamil Nadu,India
VIABD,TG,IN,Vikarabad,Telangana,India
VIJYD,AP,IN,Vijayawada,Andhra Pradesh,India
VIJPR,GJ,IN,Vijapur,Gujarat,India
VDSHA,MP,IN,Vidisha,Madhya Pradesh,India
VERAL,GJ,IN,Veraval,Gujarat,India
VEPTA,AP,IN,Vepagunta,Andhra Pradesh,India
VEKRI,AP,IN,Venkatagiri,Andhra Pradesh,India
VEMLA,AP,IN,Vemulawada,Andhra Pradesh,India
PRATV,TN,IN,Paramathi Velur,Tamil Nadu,India
VELOR,TN,IN,Vellore,Tamil Nadu,India
VJLPR,GJ,IN,Vejalpur,Gujarat,India
VENIY,TN,IN,Vedaraniyam,Tamil Nadu,India
VALKN,TN,IN,Vattalkundu,Tamil Nadu,India
VASDU,TN,IN,Vasudevanallur,Tamil Nadu,India
VSIND,MH,IN,Vashind,Maharashtra,India
VACDG,GA,IN,Vasco Da Gama,Goa,India
VSAUW,GJ,IN,Vasa,Gujarat,India
VRKLA,KL,IN,Varkala,Kerala,India
VARNI,UP,IN,Varanasi,Uttar Pradesh,India
VANIB,TN,IN,Vaniyambadi,Tamil Nadu,India
VNASI,TN,IN,Vandavasi,Tamil Nadu,India
VALSD,GJ,IN,Valsad,Gujarat,India
VLPAR,TN,IN,Valparai,Tamil Nadu,India
VVIDA,GJ,IN,Vallabh Vidyanagar,Gujarat,India
VAIPR,GJ,IN,Valabhipur,Gujarat,India
VAJUR,MH,IN,Vaijapur,Maharashtra,India
VODRA,GJ,IN,Vadodara,Gujarat,India
VDNGR,GJ,IN,Vadnagar,Gujarat,India
VADLP,AP,IN,Vadlapudi,Andhra Pradesh,India
VADIT,TN,IN,Vadippatti,Tamil Nadu,India
VDARI,TN,IN,Vadamadurai,Tamil Nadu,India
VVALY,TN,IN,Vadakku Valliyur,Tamil Nadu,India
VADZJ,MH,IN,Wada,Maharashtra,India
UTRME,TN,IN,Uttiramerur,Tamil Nadu,India
UTRAH,UT,IN,Uttarkashi,Uttarakhand,India
UTRLA,UP,IN,Utraula,Uttar Pradesh,India
USLMI,TN,IN,Usilampatti,Tamil Nadu,India
USEAT,UP,IN,Usehat,Uttar Pradesh,India
URVAO,AP,IN,Uravakonda,Andhra Pradesh,India
URNAQ,MH,IN,Uran,Maharashtra,India
ULETA,GJ,IN,Upleta,Gujarat,India
UKALN,AP,IN,Uppal Kalan,Andhra Pradesh,India
UNNAO,UP,IN,Unnao,Uttar Pradesh,India
UNJHA,GJ,IN,Unjha,Gujarat,India
UNHEL,MP,IN,Unhel,Madhya Pradesh,India
UAWYQ,HP,IN,Una,Himachal Pradesh,India
UNPAQ,GJ,IN,Una,Gujarat,India
UWAVY,UP,IN,Un,Uttar Pradesh,India
UYQWF,GJ,IN,Un,Gujarat,India
UMREH,GJ,IN,Umreth,Gujarat,India
UMRED,MH,IN,Umred,Maharashtra,India
UMAKT,CT,IN,Umarkot,Chhattisgarh,India
UMRKE,MH,IN,Umarkhed,Maharashtra,India
UMRIA,MP,IN,Umaria,Madhya Pradesh,India
UMRGA,MH,IN,Umarga,Maharashtra,India
UHSNR,MH,IN,Ulhasnagar,Maharashtra,India
UJAIN,MP,IN,Ujjain,Madhya Pradesh,India
UJHAN,UP,IN,Ujhani,Uttar Pradesh,India
UDIPT,TN,IN,Udumalaippettai,Tamil Nadu,India
UDUPI,KA,IN,Udupi,Karnataka,India
UDHAP,JK,IN,Udhampur,Jammu and Kashmir,India
UDGIR,MH,IN,Udgir,Maharashtra,India
UAKDI,TN,IN,Udankudi,Tamil Nadu,India
UDARI,AS,IN,Udalguri,Assam,India
UDIPR,MP,IN,Udaipura,Madhya Pradesh,India
UDAIR,RJ,IN,Udaipur,Rajasthan,India
UDAPR,TR,IN,Udaipur,Tripura,India
OTYFJ,TN,IN,Ooty,Tamil Nadu,India
UCHAN,HR,IN,Uchana,Haryana,India
TUIYR,TN,IN,Turaiyur,Tamil Nadu,India
TURYW,ML,IN,Tura,Meghalaya,India
TNIZQ,AP,IN,Tuni,Andhra Pradesh,India
TUDLA,UP,IN,Tundla,Uttar Pradesh,India
TUSAR,MH,IN,Tumsar,Maharashtra,India
TUMAR,KA,IN,Tumkur,Karnataka,India
TULSP,UP,IN,Tulsipur,Uttar Pradesh,India
TULJA,MH,IN,Tuljapur,Maharashtra,India
TUFGA,WB,IN,Tufanganj,West Bengal,India
TUNAG,NL,IN,Tuensang,Nagaland,India
THRAP,KL,IN,Thiruvananthapuram,Kerala,India
TRIHU,KL,IN,Thrissur,Kerala,India
TOKUQ,RJ,IN,Tonk,Rajasthan,India
TONDI,TN,IN,Tondi,Tamil Nadu,India
TOHAN,HR,IN,Tohana,Haryana,India
TORIN,RJ,IN,Todaraisingh,Rajasthan,India
TODHM,RJ,IN,Todabhim,Rajasthan,India
TILAH,OR,IN,Titlagarh,Odisha,India
TIGAH,WB,IN,Titagarh,West Bengal,India
TIAVL,TN,IN,Tisaiyanvilai,Tamil Nadu,India
CHYAR,TN,IN,Cheyyar,Tamil Nadu,India
TRUVM,TN,IN,Tiruvannamalai,Tamil Nadu,India
TIVAR,TN,IN,Tiruvallur,Tamil Nadu,India
TIRLA,KL,IN,Tiruvalla,Kerala,India
THIUA,TN,IN,Thiruthani,Tamil Nadu,India
TIANL,TN,IN,Tiruttangal,Tamil Nadu,India
TIRUR,KL,IN,Tirur,Kerala,India
TIRAM,TN,IN,Tiruppuvanam,Tamil Nadu,India
TIUPR,TN,IN,Tirupur,Tamil Nadu,India
TIPAN,TN,IN,Tirupparangunram,Tamil Nadu,India
TUPAI,AP,IN,Tirupati,Andhra Pradesh,India
TIUVE,TN,IN,Tirunelveli,Tamil Nadu,India
TIRML,AP,IN,Tirumala,Andhra Pradesh,India
TIROY,TN,IN,Tirukkoyilur,Tamil Nadu,India
TIUGE,TN,IN,Tiruchengode,Tamil Nadu,India
TICHA,TN,IN,Tiruchirappalli,Tamil Nadu,India
TIPUR,KA,IN,Tiptur,Karnataka,India
TINUK,AS,IN,Tinsukia,Assam,India
TINUR,TN,IN,Tinnanur,Tamil Nadu,India
TINDM,TN,IN,Tindivanam,Tamil Nadu,India
TILHR,UP,IN,Tilhar,Uttar Pradesh,India
TIKGA,MP,IN,Tikamgarh,Madhya Pradesh,India
TIJAR,RJ,IN,Tijara,Rajasthan,India
THOUA,MN,IN,Thoubal,Manipur,India
THVAU,TN,IN,Thiruvarur,Tamil Nadu,India
THSRA,GJ,IN,Thasra,Gujarat,India
THARD,GJ,IN,Tharad,Gujarat,India
THNUR,TN,IN,Thanjavur,Tamil Nadu,India
THNAR,HR,IN,Thanesar,Haryana,India
THANE,MH,IN,Thane,Maharashtra,India
TBHWN,UP,IN,Thana Bhawan,Uttar Pradesh,India
THAXP,GJ,IN,Thangadh,Gujarat,India
THAUG,BR,IN,Thakurganj,Bihar,India
THUWA,UP,IN,Thakurdwara,Uttar Pradesh,India
TEZUR,AS,IN,Tezpur,Assam,India
TERAL,KA,IN,Terdal,Karnataka,India
TEOAR,MP,IN,Teonthar,Madhya Pradesh,India
TENAS,TN,IN,Tenkasi,Tamil Nadu,India
THENI,TN,IN,Theni,Tamil Nadu,India
THLAE,KL,IN,Thalassery,Kerala,India
TLHAR,MH,IN,Telhara,Maharashtra,India
TEKAI,AP,IN,Tekkali,Andhra Pradesh,India
TKALO,KA,IN,Tekkalakote,Karnataka,India
TKARI,BR,IN,Tekari,Bihar,India
TEHRI,UT,IN,Tehri,Uttarakhand,India
TEGHR,BR,IN,Teghra,Bihar,India
TASON,MH,IN,Tasgaon,Maharashtra,India
TTARN,PB,IN,Tarn Taran,Punjab,India
TAIER,KA,IN,Tarikere,Karnataka,India
THGMB,TN,IN,Tharangambadi,Tamil Nadu,India
TNGAR,RJ,IN,Taranagar,Rajasthan,India
TARAA,MP,IN,Tarana,Madhya Pradesh,India
TAMNL,TN,IN,Taramangalam,Tamil Nadu,India
TARKW,WB,IN,Tarakeswar,West Bengal,India
TAORU,HR,IN,Taoru,Haryana,India
TANUK,AP,IN,Tanuku,Andhra Pradesh,India
TANUR,TG,IN,Tandur,Telangana,India
TANDA,UP,IN,Tanda,Uttar Pradesh,India
TAKUR,UT,IN,Tanakpur,Uttarakhand,India
TAMLK,WB,IN,Tamluk,West Bengal,India
TLWAR,PB,IN,Talwara,Punjab,India
TLODA,MH,IN,Taloda,Maharashtra,India
TALIB,KL,IN,Taliparamba,Kerala,India
TLIOA,KA,IN,Talikota,Karnataka,India
TALEI,GA,IN,Taleigao,Goa,India
TAGOD,MH,IN,Talegaon Dabhade,Maharashtra,India
TALER,OR,IN,Talcher,Odisha,India
TLAJA,GJ,IN,Talaja,Gujarat,India
TKIFF,WB,IN,Taki,West Bengal,India
TAKHP,CT,IN,Takhatpur,Chhattisgarh,India
TKGRH,RJ,IN,Takhatgarh,Rajasthan,India
TAJPR,UP,IN,Tajpur,Uttar Pradesh,India
TDPAR,AP,IN,Tadpatri,Andhra Pradesh,India
TDEGU,AP,IN,Tadepalligudem,Andhra Pradesh,India
TADPL,AP,IN,Tadepalle,Andhra Pradesh,India
SUIET,AP,IN,Suriapet,Andhra Pradesh,India
SURAW,UP,IN,Surianwan,Uttar Pradesh,India
SURED,GJ,IN,Surendranagar,Gujarat,India
SURAH,RJ,IN,Suratgarh,Rajasthan,India
SURAT,GJ,IN,Surat,Gujarat,India
SURNI,TN,IN,Surandai,Tamil Nadu,India
SURAG,RJ,IN,Surajgarh,Rajasthan,India
SPAUL,BR,IN,Supaul,Bihar,India
SUNEL,RJ,IN,Sunel,Rajasthan,India
SUNDR,HP,IN,Sundarnagar,Himachal Pradesh,India
SUNDR,OR,IN,Sundargarh,Odisha,India
SUNAM,PB,IN,Sunam,Punjab,India
SULYA,KA,IN,Sulya,Karnataka,India
SUURU,AP,IN,Suluru,Andhra Pradesh,India
SULUR,TN,IN,Sulur,Tamil Nadu,India
STNPL,PB,IN,Sultanpur Lodhi,Punjab,India
SLTPR,UP,IN,Sultanpur,Uttar Pradesh,India
SUKET,RJ,IN,Suket,Rajasthan,India
SJNGR,RJ,IN,Sujangarh,Rajasthan,India
SUAAA,UP,IN,Suar,Uttar Pradesh,India
SRVIL,TN,IN,Srivilliputhur,Tamil Nadu,India
SRIHN,MH,IN,Shrivardhan,Maharashtra,India
SIVTA,TN,IN,Srivaikuntam,Tamil Nadu,India
SRLAM,AP,IN,Srisailam,Andhra Pradesh,India
SRIAG,AP,IN,Sriramnagar,Andhra Pradesh,India
SIPMR,TN,IN,Sriperumbudur,Tamil Nadu,India
SRNVU,KA,IN,Srinivaspur,Karnataka,India
SRIAG,JK,IN,Srinagar,Jammu and Kashmir,India
SRNGA,UT,IN,Srinagar,Uttarakhand,India
SMADH,RJ,IN,Sri Madhopur,Rajasthan,India
KANUR,RJ,IN,Karanpur,Rajasthan,India
SRIAM,AP,IN,Srikakulam,Andhra Pradesh,India
SDNGH,RJ,IN,Sri Dungargarh,Rajasthan,India
SORON,UP,IN,Soron,Uttar Pradesh,India
SORXW,OR,IN,Soro,Odisha,India
SORAD,OR,IN,Pottangi,Odisha,India
SOPUR,JK,IN,Sopore,Jammu and Kashmir,India
SONPA,HR,IN,Sonipat,Haryana,India
SONDH,GJ,IN,Songadh,Gujarat,India
SNEPR,OR,IN,Sonepur Rampur,Odisha,India
SOARI,AS,IN,Sonari,Assam,India
SOAMU,WB,IN,Sonamukhi,West Bengal,India
SOMPE,AP,IN,Sompeta,Andhra Pradesh,India
SOLAN,HP,IN,Solan,Himachal Pradesh,India
SOJIR,GJ,IN,Sojitra,Gujarat,India
SOJAT,RJ,IN,Sojat,Rajasthan,India
SOHNA,HR,IN,Sohna,Haryana,India
SOHAU,MP,IN,Sohagpur,Madhya Pradesh,India
SIWAN,RJ,IN,Siwana,Rajasthan,India
SIWAN,BR,IN,Siwan,Bihar,India
SVKAI,TN,IN,Sivakasi,Tamil Nadu,India
SIAGR,TN,IN,Sivagiri,Tamil Nadu,India
SIVNG,TN,IN,Sivaganga,Tamil Nadu,India
SIURI,WB,IN,Siuri,West Bengal,India
SITGJ,UT,IN,Sitarganj,Uttarakhand,India
SITAU,UP,IN,Sitapur,Uttar Pradesh,India
STAMR,BR,IN,Sitamarhi,Bihar,India
SIWAB,UP,IN,Siswa Bazar,Uttar Pradesh,India
SIAUL,UP,IN,Sisauli,Uttar Pradesh,India
SHIUR,MH,IN,Shirur,Maharashtra,India
SIRMG,TN,IN,Sirumugai,Tamil Nadu,India
SIRGU,KA,IN,Siruguppa,Karnataka,India
SRILA,AP,IN,Sirsilla,Andhra Pradesh,India
SIRSI,UP,IN,Sirsi,Uttar Pradesh,India
SIRSI,KA,IN,Sirsi,Karnataka,India
SIRAJ,UP,IN,Sirsaganj,Uttar Pradesh,India
SIRSA,HR,IN,Sirsa,Haryana,India
SIONJ,MP,IN,Sironj,Madhya Pradesh,India
SROHI,RJ,IN,Sirohi,Rajasthan,India
SRKZH,TN,IN,Sirkazhi,Tamil Nadu,India
SIRND,PB,IN,Sirhind,Punjab,India
SIRVA,KA,IN,Sira,Karnataka,India
SINAR,MH,IN,Sinnar,Maharashtra,India
SNGUR,WB,IN,Singur,West Bengal,India
SIAYO,AP,IN,Singarayakonda,Andhra Pradesh,India
SNGLR,TN,IN,Singanallur,Tamil Nadu,India
SINDG,KA,IN,Sindgi,Karnataka,India
SHIML,HP,IN,Shimla,Himachal Pradesh,India
SIMDA,JH,IN,Simdega,Jharkhand,India
SILVA,DN,IN,Silvassa,Dadra and Nagar Haveli,India
SILOD,MH,IN,Sillod,Maharashtra,India
SILCA,AS,IN,Silchar,Assam,India
SILAO,BR,IN,Silao,Bihar,India
SIKAR,RJ,IN,Sikar,Rajasthan,India
SIANR,UP,IN,Sikandra Rao,Uttar Pradesh,India
SINUR,UP,IN,Sikandarpur,Uttar Pradesh,India
SIKBA,UP,IN,Sikandrabad,Uttar Pradesh,India
SIKKA,GJ,IN,Sikka,Gujarat,India
